,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,lendiff,meandiff,totlen
C4orf52,-6.32557010651,0.0,-6.32557010651,0.0,0.0,0.0,-6.32557010651,0.0,1.0,0.0,1.0,-6.32557010651,1.0
C5orf25,-9.22057914734,0.0,-9.22057914734,0.0,0.0,0.0,-9.22057914734,0.0,1.0,0.0,1.0,-9.22057914734,1.0
C8orf84,0.0,11.5775251389,0.0,11.5775251389,0.0,0.0,0.0,11.5775251389,0.0,1.0,-1.0,-11.5775251389,1.0
CBL,14.6039113998,0.0,14.6039113998,0.0,0.0,0.0,14.6039113998,0.0,1.0,0.0,1.0,14.6039113998,1.0
CBS,0.0,7.40078544617,0.0,7.40078544617,0.0,0.0,0.0,7.40078544617,0.0,1.0,-1.0,-7.40078544617,1.0
CCDC134,-8.62181186676,0.0,-8.62181186676,0.0,0.0,0.0,-8.62181186676,0.0,1.0,0.0,1.0,-8.62181186676,1.0
CCDC27,0.0,-9.16320800781,0.0,-9.16320800781,0.0,0.0,0.0,-9.16320800781,1.0,1.0,0.0,9.16320800781,2.0
CCDC58,-15.4590320587,0.0,-15.4590320587,0.0,0.0,0.0,-15.4590320587,0.0,1.0,1.0,0.0,-15.4590320587,2.0
CCDC7,-5.66330814362,0.0,-5.66330814362,0.0,0.0,0.0,-5.66330814362,0.0,1.0,0.0,1.0,-5.66330814362,1.0
CDH7,0.0,-5.97473335266,0.0,-5.97473335266,0.0,0.0,0.0,-5.97473335266,1.0,1.0,0.0,5.97473335266,2.0
CDHR4,0.0,-12.4626913071,0.0,-12.4626913071,0.0,0.0,0.0,-12.4626913071,0.0,1.0,-1.0,12.4626913071,1.0
CHST8,0.0,-6.56917476654,0.0,-6.56917476654,0.0,0.0,0.0,-6.56917476654,0.0,1.0,-1.0,6.56917476654,1.0
CRKL,0.0,-5.5156993866,0.0,-5.5156993866,0.0,0.0,0.0,-5.5156993866,0.0,1.0,-1.0,5.5156993866,1.0
CTC-426B10.1,0.0,-9.22954559326,0.0,-9.22954559326,0.0,0.0,0.0,-9.22954559326,0.0,1.0,-1.0,9.22954559326,1.0
CTD-2139B15.1,-12.5514583588,0.0,-12.5514583588,0.0,0.0,0.0,-12.5514583588,0.0,1.0,0.0,1.0,-12.5514583588,1.0
CTPS2,-12.1100921631,0.0,-12.1100921631,0.0,0.0,0.0,-12.1100921631,0.0,1.0,1.0,0.0,-12.1100921631,2.0
DAG1,0.0,12.3358459473,0.0,12.3358459473,0.0,0.0,0.0,12.3358459473,1.0,1.0,0.0,-12.3358459473,2.0
DDX24,-5.54023647308,0.0,-5.54023647308,0.0,0.0,0.0,-5.54023647308,0.0,1.0,0.0,1.0,-5.54023647308,1.0
DEPDC5,-9.22057914734,0.0,-9.22057914734,0.0,0.0,0.0,-9.22057914734,0.0,1.0,0.0,1.0,-9.22057914734,1.0
DGUOK,11.3684177399,0.0,11.3684177399,0.0,0.0,0.0,11.3684177399,0.0,1.0,0.0,1.0,11.3684177399,1.0
DNAJC13,5.23461866379,0.0,5.23461866379,0.0,0.0,0.0,5.23461866379,0.0,1.0,0.0,1.0,5.23461866379,1.0
DNTT,-5.66589784622,0.0,-5.66589784622,0.0,0.0,0.0,-5.66589784622,0.0,1.0,0.0,1.0,-5.66589784622,1.0
DOCK10,0.0,-13.2031326294,0.0,-13.2031326294,0.0,0.0,0.0,-13.2031326294,1.0,1.0,0.0,13.2031326294,2.0
EXOSC7,0.0,-11.0873279572,0.0,-11.0873279572,0.0,0.0,0.0,-11.0873279572,0.0,1.0,-1.0,11.0873279572,1.0
FAM126A,0.0,-13.2053813934,0.0,-13.2053813934,0.0,0.0,0.0,-13.2053813934,0.0,1.0,-1.0,13.2053813934,1.0
FAM3B,0.0,11.4363002777,0.0,11.4363002777,0.0,0.0,0.0,11.4363002777,0.0,1.0,-1.0,-11.4363002777,1.0
FAR2,-17.7065124512,0.0,-17.7065124512,0.0,0.0,0.0,-17.7065124512,0.0,1.0,0.0,1.0,-17.7065124512,1.0
FBXO39,0.0,10.0445785522,0.0,10.0445785522,0.0,0.0,0.0,10.0445785522,0.0,1.0,-1.0,-10.0445785522,1.0
GLIPR2,10.2785215378,0.0,10.2785215378,0.0,0.0,0.0,10.2785215378,0.0,1.0,0.0,1.0,10.2785215378,1.0
GORASP1,0.0,-11.8958597183,0.0,-11.8958597183,0.0,0.0,0.0,-11.8958597183,1.0,1.0,0.0,11.8958597183,2.0
GPR101,-12.1252622604,0.0,-12.1252622604,0.0,0.0,0.0,-12.1252622604,0.0,1.0,0.0,1.0,-12.1252622604,1.0
GPR98,-6.71497869492,0.0,-6.71497869492,0.0,0.0,0.0,-6.71497869492,0.0,1.0,0.0,1.0,-6.71497869492,1.0
HMGA1P2,2.10474061966,-3.50779461861,2.10474061966,-3.50779461861,0.0,0.0,2.10474061966,-3.50779461861,1.0,1.0,0.0,5.61253523827,2.0
HMGB1P30,0.0,6.30847883224,0.0,6.30847883224,0.0,0.0,0.0,6.30847883224,0.0,1.0,-1.0,-6.30847883224,1.0
HMHA1,0.0,-10.9424304962,0.0,-10.9424304962,0.0,0.0,0.0,-10.9424304962,0.0,1.0,-1.0,10.9424304962,1.0
HS3ST3A1,0.0,9.80812168121,0.0,9.80812168121,0.0,0.0,0.0,9.80812168121,0.0,1.0,-1.0,-9.80812168121,1.0
IGHEP1,10.0883216858,0.0,10.0883216858,0.0,0.0,0.0,10.0883216858,0.0,1.0,0.0,1.0,10.0883216858,1.0
IGHV3-49,0.0,-15.139383316,0.0,-7.56969165802,0.0,10.7051606058,0.0,0.0,0.0,2.0,-2.0,7.56969165802,2.0
IL11RA,8.15672683716,0.0,8.15672683716,0.0,0.0,0.0,8.15672683716,0.0,1.0,0.0,1.0,8.15672683716,1.0
INPP5B,0.0,7.40831279755,0.0,7.40831279755,0.0,0.0,0.0,7.40831279755,0.0,1.0,-1.0,-7.40831279755,1.0
JDP2,0.0,0.0,5.89846038818,0.0,8.34168267809,0.0,11.7969207764,0.0,2.0,2.0,0.0,5.89846038818,4.0
KANK1,0.0,-6.45213270187,0.0,-6.45213270187,0.0,0.0,0.0,-6.45213270187,1.0,1.0,0.0,6.45213270187,2.0
KAT6B,5.63643217087,0.0,5.63643217087,0.0,0.0,0.0,5.63643217087,0.0,1.0,1.0,0.0,5.63643217087,2.0
KB-1562D12.2,0.0,6.14567756653,0.0,6.14567756653,0.0,0.0,0.0,6.14567756653,0.0,1.0,-1.0,-6.14567756653,1.0
KB-1995A5.13,-6.84972143173,0.0,-6.84972143173,0.0,0.0,0.0,-6.84972143173,0.0,1.0,1.0,0.0,-6.84972143173,2.0
KCNJ16,6.81215286255,0.0,6.81215286255,0.0,0.0,0.0,6.81215286255,0.0,1.0,0.0,1.0,6.81215286255,1.0
KCNJ2,0.0,-11.8925285339,0.0,-11.8925285339,0.0,0.0,0.0,-11.8925285339,0.0,1.0,-1.0,11.8925285339,1.0
LCE2B,0.0,-15.0307378769,0.0,-15.0307378769,0.0,0.0,0.0,-15.0307378769,0.0,1.0,-1.0,15.0307378769,1.0
LINC00311,0.0,7.19574165344,0.0,7.19574165344,0.0,0.0,0.0,7.19574165344,0.0,1.0,-1.0,-7.19574165344,1.0
LRAT,-6.81858253479,0.0,-6.81858253479,0.0,0.0,0.0,-6.81858253479,0.0,1.0,0.0,1.0,-6.81858253479,1.0
LRRC3,-6.64600944519,0.0,-6.64600944519,0.0,0.0,0.0,-6.64600944519,0.0,1.0,0.0,1.0,-6.64600944519,1.0
LY75,-11.5200996399,0.0,-11.5200996399,0.0,0.0,0.0,-11.5200996399,0.0,1.0,0.0,1.0,-11.5200996399,1.0
MAL2,0.0,8.1111831665,0.0,8.1111831665,0.0,0.0,0.0,8.1111831665,0.0,1.0,-1.0,-8.1111831665,1.0
MARK2P8,0.0,0.0,0.0,6.74085235596,0.0,9.53300482375,0.0,13.4817047119,1.0,2.0,-1.0,-6.74085235596,3.0
MAST4,0.0,-16.5415439606,0.0,-16.5415439606,0.0,0.0,0.0,-16.5415439606,1.0,1.0,0.0,16.5415439606,2.0
MBD5,0.0,-6.42109298706,0.0,-6.42109298706,0.0,0.0,0.0,-6.42109298706,0.0,1.0,-1.0,6.42109298706,1.0
MICALL2,0.0,-8.81950855255,0.0,-8.81950855255,0.0,0.0,0.0,-8.81950855255,2.0,1.0,1.0,8.81950855255,3.0
MIRLET7A3,0.0,-8.69385528564,0.0,-8.69385528564,0.0,0.0,0.0,-8.69385528564,0.0,1.0,-1.0,8.69385528564,1.0
MRPS11P1,0.0,-5.58496236801,0.0,-5.58496236801,0.0,0.0,0.0,-5.58496236801,0.0,1.0,-1.0,5.58496236801,1.0
MRPS18AP1,0.0,0.0,5.43061351776,0.0,7.68004728882,0.0,10.8612270355,0.0,2.0,1.0,1.0,5.43061351776,3.0
MYD88,-5.31765317917,0.0,-5.31765317917,0.0,0.0,0.0,-5.31765317917,0.0,1.0,2.0,-1.0,-5.31765317917,3.0
MYL4,7.45249700546,0.0,7.45249700546,0.0,0.0,0.0,7.45249700546,0.0,1.0,0.0,1.0,7.45249700546,1.0
NETO1,-7.39096784592,0.0,-7.39096784592,0.0,0.0,0.0,-7.39096784592,0.0,1.0,2.0,-1.0,-7.39096784592,3.0
NOD1,8.17230510712,0.0,8.17230510712,0.0,0.0,0.0,8.17230510712,0.0,1.0,0.0,1.0,8.17230510712,1.0
NRP1,0.0,-10.6219272614,0.0,-5.31096363068,0.0,7.51083679577,0.0,0.0,5.0,2.0,3.0,5.31096363068,7.0
NTN4,0.0,8.38443279266,0.0,8.38443279266,0.0,0.0,0.0,8.38443279266,0.0,1.0,-1.0,-8.38443279266,1.0
NXPH1,0.0,-10.0102424622,0.0,-10.0102424622,0.0,0.0,0.0,-10.0102424622,0.0,1.0,-1.0,10.0102424622,1.0
OPN3,-5.63815641403,0.0,-5.63815641403,0.0,0.0,0.0,-5.63815641403,0.0,1.0,0.0,1.0,-5.63815641403,1.0
OTOL1,-7.64707708359,0.0,-7.64707708359,0.0,0.0,0.0,-7.64707708359,0.0,1.0,1.0,0.0,-7.64707708359,2.0
PABPC1P1,0.0,5.46394205093,0.0,5.46394205093,0.0,0.0,0.0,5.46394205093,1.0,1.0,0.0,-5.46394205093,2.0
PDIA4,-9.11603736877,0.0,-9.11603736877,0.0,0.0,0.0,-9.11603736877,0.0,1.0,0.0,1.0,-9.11603736877,1.0
PELI1,0.0,-9.18251037598,0.0,-9.18251037598,0.0,0.0,0.0,-9.18251037598,0.0,1.0,-1.0,9.18251037598,1.0
PJA2,0.0,-15.3800268173,0.0,-15.3800268173,0.0,0.0,0.0,-15.3800268173,0.0,1.0,-1.0,15.3800268173,1.0
PLEKHO2,0.0,12.960896492,0.0,12.960896492,0.0,0.0,0.0,12.960896492,1.0,1.0,0.0,-12.960896492,2.0
PMFBP1,-7.26456212997,0.0,-7.26456212997,0.0,0.0,0.0,-7.26456212997,0.0,1.0,0.0,1.0,-7.26456212997,1.0
POC5,-13.73462677,0.0,-13.73462677,0.0,0.0,0.0,-13.73462677,0.0,1.0,0.0,1.0,-13.73462677,1.0
PPP1R9A,6.83061408997,0.0,6.83061408997,0.0,0.0,0.0,6.83061408997,0.0,1.0,0.0,1.0,6.83061408997,1.0
PRAGMIN,0.0,-10.3054447174,0.0,-5.1527223587,0.0,7.28704984282,0.0,0.0,1.0,2.0,-1.0,5.1527223587,3.0
PRDX6,0.0,-15.023932457,0.0,-15.023932457,0.0,0.0,0.0,-15.023932457,0.0,1.0,-1.0,15.023932457,1.0
PSMA8,-5.84841489792,0.0,-5.84841489792,0.0,0.0,0.0,-5.84841489792,0.0,1.0,0.0,1.0,-5.84841489792,1.0
PTPRE,0.0,10.3086242676,0.0,10.3086242676,0.0,0.0,0.0,10.3086242676,1.0,1.0,0.0,-10.3086242676,2.0
RBPJ,0.0,-8.38801670074,5.95043802261,-4.19400835037,8.41519015364,5.9312234898,11.9008760452,0.0,2.0,2.0,0.0,10.144446373,4.0
RGS2,0.0,-9.05138015747,0.0,-9.05138015747,0.0,0.0,0.0,-9.05138015747,0.0,1.0,-1.0,9.05138015747,1.0
RGS4,-12.148440361,0.0,-12.148440361,0.0,0.0,0.0,-12.148440361,0.0,1.0,0.0,1.0,-12.148440361,1.0
RHBDL3,-8.55746459961,0.0,-8.55746459961,0.0,0.0,0.0,-8.55746459961,0.0,1.0,0.0,1.0,-8.55746459961,1.0
RND3,-5.43259954453,0.0,-5.43259954453,0.0,0.0,0.0,-5.43259954453,0.0,1.0,1.0,0.0,-5.43259954453,2.0
RNU5E-8P,4.1204662323,-4.62279669444,4.18953061104,-1.54093223148,0.0976717810887,2.66897291594,4.25859498978,0.0,2.0,3.0,-1.0,5.73046284252,5.0
RP1-238O23.4,0.0,8.61106491089,0.0,8.61106491089,0.0,0.0,0.0,8.61106491089,0.0,1.0,-1.0,-8.61106491089,1.0
RP1-276N6.2,-10.307103157,0.0,-10.307103157,0.0,0.0,0.0,-10.307103157,0.0,1.0,0.0,1.0,-10.307103157,1.0
RP1-40E16.9,0.0,-5.26027774811,0.0,-5.26027774811,0.0,0.0,0.0,-5.26027774811,0.0,1.0,-1.0,5.26027774811,1.0
RP11-1012A1.7,0.0,0.0,0.0,6.96343421936,0.0,9.84778311371,0.0,13.9268684387,2.0,2.0,0.0,-6.96343421936,4.0
RP11-114O13.1,0.0,-11.2928037643,0.0,-5.64640188217,0.0,7.98521812038,0.0,0.0,2.0,2.0,0.0,5.64640188217,4.0
RP11-129B22.2,6.75125551224,0.0,6.75125551224,0.0,0.0,0.0,6.75125551224,0.0,1.0,1.0,0.0,6.75125551224,2.0
RP11-14C22.4,0.0,-12.5989246368,0.0,-6.29946231842,0.0,8.90878504637,0.0,0.0,2.0,2.0,0.0,6.29946231842,4.0
RP11-264E18.1,0.0,-7.33628511429,0.0,-7.33628511429,0.0,0.0,0.0,-7.33628511429,0.0,1.0,-1.0,7.33628511429,1.0
RP11-275I4.2,-10.1751270294,0.0,-5.08756351471,0.0,7.19490132194,0.0,0.0,0.0,2.0,3.0,-1.0,-5.08756351471,5.0
RP11-352D13.3,0.0,-5.40835094452,0.0,-5.40835094452,0.0,0.0,0.0,-5.40835094452,2.0,1.0,1.0,5.40835094452,3.0
RP11-356M20.1,0.0,-6.7791724205,0.0,-6.7791724205,0.0,0.0,0.0,-6.7791724205,1.0,1.0,0.0,6.7791724205,2.0
RP11-368I23.1,0.0,7.59991264343,0.0,7.59991264343,0.0,0.0,0.0,7.59991264343,0.0,1.0,-1.0,-7.59991264343,1.0
RP11-373L8.2,0.0,9.36260223389,0.0,9.36260223389,0.0,0.0,0.0,9.36260223389,0.0,1.0,-1.0,-9.36260223389,1.0
RP11-378A12.1,0.0,-6.17723989487,0.0,-6.17723989487,0.0,0.0,0.0,-6.17723989487,0.0,1.0,-1.0,6.17723989487,1.0
RP11-418J17.2,0.0,-12.1502342224,0.0,-12.1502342224,0.0,0.0,0.0,-12.1502342224,0.0,1.0,-1.0,12.1502342224,1.0
RP11-438D8.2,2.96821951866,-7.42833805084,2.96821951866,-7.42833805084,0.0,0.0,2.96821951866,-7.42833805084,1.0,1.0,0.0,10.3965575695,2.0
RP11-479A21.1,0.0,5.85039234161,0.0,5.85039234161,0.0,0.0,0.0,5.85039234161,0.0,1.0,-1.0,-5.85039234161,1.0
RP11-567N4.3,0.0,8.29900932312,0.0,8.29900932312,0.0,0.0,0.0,8.29900932312,0.0,1.0,-1.0,-8.29900932312,1.0
RP11-626H12.2,1.30288887024,-8.97997570038,1.30288887024,-8.97997570038,0.0,0.0,1.30288887024,-8.97997570038,1.0,1.0,0.0,10.2828645706,2.0
RP11-69G7.1,7.21183443069,0.0,7.21183443069,0.0,0.0,0.0,7.21183443069,0.0,1.0,0.0,1.0,7.21183443069,1.0
RP11-6F2.7,-4.45700073242,4.61948823929,-2.22850036621,4.61948823929,3.15157544165,0.0,0.0,4.61948823929,2.0,1.0,1.0,-6.8479886055,3.0
RP11-723D22.2,0.0,10.779458046,0.0,10.779458046,0.0,0.0,0.0,10.779458046,0.0,1.0,-1.0,-10.779458046,1.0
RP11-723D22.3,-11.3296308517,0.0,-11.3296308517,0.0,0.0,0.0,-11.3296308517,0.0,1.0,0.0,1.0,-11.3296308517,1.0
RP11-863N1.1,0.0,-13.4795780182,0.0,-13.4795780182,0.0,0.0,0.0,-13.4795780182,0.0,1.0,-1.0,13.4795780182,1.0
RP11-89H19.1,0.0,8.35437393188,0.0,8.35437393188,0.0,0.0,0.0,8.35437393188,0.0,1.0,-1.0,-8.35437393188,1.0
RP11-96C23.8,5.87318086624,0.0,5.87318086624,0.0,0.0,0.0,5.87318086624,0.0,1.0,0.0,1.0,5.87318086624,1.0
RP13-188P24.2,0.0,0.0,0.0,5.60219526291,0.0,7.92270051987,0.0,11.2043905258,0.0,2.0,-2.0,-5.60219526291,2.0
RP3-410B11.1,-19.6067714691,0.0,-19.6067714691,0.0,0.0,0.0,-19.6067714691,0.0,1.0,0.0,1.0,-19.6067714691,1.0
RP3-438O4.4,0.0,-11.8395957947,0.0,-11.8395957947,0.0,0.0,0.0,-11.8395957947,1.0,1.0,0.0,11.8395957947,2.0
RP3-467K16.2,0.0,12.1599569321,0.0,12.1599569321,0.0,0.0,0.0,12.1599569321,0.0,1.0,-1.0,-12.1599569321,1.0
RP4-803A2.2,6.90134572983,0.0,6.90134572983,0.0,0.0,0.0,6.90134572983,0.0,1.0,0.0,1.0,6.90134572983,1.0
RP5-1024N4.1,7.42852735519,0.0,7.42852735519,0.0,0.0,0.0,7.42852735519,0.0,1.0,0.0,1.0,7.42852735519,1.0
RPL21,0.0,-7.49665403366,0.0,-7.49665403366,0.0,0.0,0.0,-7.49665403366,2.0,1.0,1.0,7.49665403366,3.0
RPP25,0.0,0.0,5.52291297913,0.0,7.81057843889,0.0,11.0458259583,0.0,2.0,2.0,0.0,5.52291297913,4.0
RPS6KL1,0.0,-7.89510917664,0.0,-7.89510917664,0.0,0.0,0.0,-7.89510917664,1.0,1.0,0.0,7.89510917664,2.0
RSL24D1P11,16.8429203033,0.0,16.8429203033,0.0,0.0,0.0,16.8429203033,0.0,1.0,0.0,1.0,16.8429203033,1.0
RTTN,-2.09538078308,-15.1636161804,-1.04769039154,-15.1636161804,1.48165796088,0.0,0.0,-15.1636161804,2.0,1.0,1.0,14.1159257889,3.0
S100A14,-10.1642141342,0.0,-5.08210706711,0.0,7.18718473974,0.0,0.0,0.0,2.0,0.0,2.0,-5.08210706711,2.0
S100B,0.0,-9.01427745819,0.0,-9.01427745819,0.0,0.0,0.0,-9.01427745819,0.0,1.0,-1.0,9.01427745819,1.0
SDF4,0.0,-8.52237987518,0.0,-8.52237987518,0.0,0.0,0.0,-8.52237987518,0.0,1.0,-1.0,8.52237987518,1.0
SEC63P1,-13.2038002014,0.0,-13.2038002014,0.0,0.0,0.0,-13.2038002014,0.0,1.0,0.0,1.0,-13.2038002014,1.0
SEMA4G,-7.4966545105,0.0,-7.4966545105,0.0,0.0,0.0,-7.4966545105,0.0,1.0,1.0,0.0,-7.4966545105,2.0
SEPSECS,-10.0159883499,0.0,-10.0159883499,0.0,0.0,0.0,-10.0159883499,0.0,1.0,1.0,0.0,-10.0159883499,2.0
SEPT5,0.0,0.0,0.0,5.74850320816,0.0,8.12961120033,0.0,11.4970064163,1.0,2.0,-1.0,-5.74850320816,3.0
SLC16A4,0.0,-14.3468074799,0.0,-7.17340373993,0.0,10.1447248574,0.0,0.0,0.0,2.0,-2.0,7.17340373993,2.0
SLC22A23,0.0,-5.0697851181,0.0,-5.0697851181,0.0,0.0,0.0,-5.0697851181,1.0,1.0,0.0,5.0697851181,2.0
SLC25A14,0.0,-6.26650381088,0.0,-6.26650381088,0.0,0.0,0.0,-6.26650381088,0.0,1.0,-1.0,6.26650381088,1.0
SLC6A18,9.95274066925,0.0,12.0714591344,0.0,1.8348640143,0.0,13.130818367,0.0,3.0,0.0,3.0,12.0714591344,3.0
SMAGP,0.0,7.94738006592,0.0,7.94738006592,0.0,0.0,0.0,7.94738006592,0.0,1.0,-1.0,-7.94738006592,1.0
SMYD3-IT1,0.0,-7.05775547028,0.0,-7.05775547028,0.0,0.0,0.0,-7.05775547028,0.0,1.0,-1.0,7.05775547028,1.0
SNHG7,-5.58496284485,0.0,-5.58496284485,0.0,0.0,0.0,-5.58496284485,0.0,1.0,0.0,1.0,-5.58496284485,1.0
SPR,-15.8534212112,0.0,-15.8534212112,0.0,0.0,0.0,-15.8534212112,0.0,1.0,0.0,1.0,-15.8534212112,1.0
SPRR2E,-13.840927124,0.0,-13.840927124,0.0,0.0,0.0,-13.840927124,0.0,1.0,0.0,1.0,-13.840927124,1.0
TACC1,5.65129852295,0.0,5.65129852295,0.0,0.0,0.0,5.65129852295,0.0,1.0,0.0,1.0,5.65129852295,1.0
TAL1,0.0,-10.2893514633,0.0,-10.2893514633,0.0,0.0,0.0,-10.2893514633,0.0,1.0,-1.0,10.2893514633,1.0
TANC1,0.0,-14.8452644348,0.205607891083,-7.42263221741,0.2907734681,10.4971871504,0.411215782166,0.0,2.0,2.0,0.0,7.62824010849,4.0
TBC1D7,0.0,-16.5556144714,0.0,-16.5556144714,0.0,0.0,0.0,-16.5556144714,0.0,1.0,-1.0,16.5556144714,1.0
TBXA2R,-5.12119626999,0.0,-5.12119626999,0.0,0.0,0.0,-5.12119626999,0.0,1.0,0.0,1.0,-5.12119626999,1.0
TCF4,-7.89427042007,-2.58337974548,-7.89427042007,-0.645844936371,0.0,1.29168987274,-7.89427042007,0.0,1.0,4.0,-3.0,-7.2484254837,5.0
TIAM2,-15.4590320587,0.0,-15.4590320587,0.0,0.0,0.0,-15.4590320587,0.0,1.0,1.0,0.0,-15.4590320587,2.0
TMEM123,-5.40231561661,0.0,-5.40231561661,0.0,0.0,0.0,-5.40231561661,0.0,1.0,0.0,1.0,-5.40231561661,1.0
TNS3,0.0,-5.65412521362,0.0,-5.65412521362,0.0,0.0,0.0,-5.65412521362,0.0,1.0,-1.0,5.65412521362,1.0
TPPP2,0.0,-9.68305110931,0.0,-9.68305110931,0.0,0.0,0.0,-9.68305110931,1.0,1.0,0.0,9.68305110931,2.0
TRGJP1,-12.1021471024,0.0,-12.1021471024,0.0,0.0,0.0,-12.1021471024,0.0,1.0,0.0,1.0,-12.1021471024,1.0
TRIM55,12.1517648697,0.0,12.1517648697,0.0,0.0,0.0,12.1517648697,0.0,1.0,0.0,1.0,12.1517648697,1.0
TYW1B,0.0,-11.5940599442,0.0,-11.5940599442,0.0,0.0,0.0,-11.5940599442,1.0,1.0,0.0,11.5940599442,2.0
UCHL5,0.0,9.88421916962,0.0,9.88421916962,0.0,0.0,0.0,9.88421916962,0.0,1.0,-1.0,-9.88421916962,1.0
XPR1,-6.5572514534,0.0,-6.5572514534,0.0,0.0,0.0,-6.5572514534,0.0,1.0,0.0,1.0,-6.5572514534,1.0
ZFP42,-6.48837518692,0.0,-6.48837518692,0.0,0.0,0.0,-6.48837518692,0.0,1.0,0.0,1.0,-6.48837518692,1.0
ZNF197,-5.48935747147,0.0,-5.48935747147,0.0,0.0,0.0,-5.48935747147,0.0,1.0,1.0,0.0,-5.48935747147,2.0
ZNF780B,0.0,-9.66596317291,0.0,-9.66596317291,0.0,0.0,0.0,-9.66596317291,0.0,1.0,-1.0,9.66596317291,1.0
